ID_POST,Sentiment,Count,positive,negative,neutre
232821613450342_917788768286953,negative,0,0,0,1
232821613450342_917788768286953,positive,1,0,0,1
232821613450342_917788768286953,neutre,0,0,0,1
232821613450342_919774108088419,negative,0,0,0,1
232821613450342_919774108088419,positive,1,0,0,1
232821613450342_919774108088419,neutre,0,0,0,1
232821613450342_920656611333502,negative,0,0,1,0
232821613450342_920656611333502,positive,0,0,1,0
232821613450342_920656611333502,neutre,1,0,1,0
232821613450342_922740714458425,negative,0,0,1,0
232821613450342_922740714458425,positive,0,0,1,0
232821613450342_922740714458425,neutre,1,0,1,0
232821613450342_922743114458185,negative,1,1,3,0
232821613450342_922743114458185,positive,0,1,3,0
232821613450342_922743114458185,neutre,3,1,3,0
232821613450342_929133673819129,negative,1,1,2,4
232821613450342_929133673819129,positive,4,1,2,4
232821613450342_929133673819129,neutre,2,1,2,4
